prop_price,prop_title,prop_location,prop_size
"45,000 OMR",Commercial Land for Sale in Muscat Amerat,"Muscat, Amerat",Commercial Land for Sale in Muscat Amerat
"27,000 OMR",57 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",57 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"139,000 OMR",Farm Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Farm Land for Sale in Al Batinah Suwaiq
"12,600 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"7,100 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"7,400 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"22,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"23,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"42,000 OMR",مطعم وكوفي جاهز للبيع,"Muscat, Qurm",مطعم وكوفي جاهز للبيع
"66,000 OMR",300 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",300 m2 4 Bedrooms Villa for Sale in Al Batinah Barka
"43,000 OMR",200 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",200 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail
"50,000 OMR",Residential Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Residential Land for Sale in Al Dakhiliya Nizwa
"55,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"200,000 OMR",Mixed Use Land for Sale in Muscat Bosher,"Muscat, Bosher",Mixed Use Land for Sale in Muscat Bosher
"110,000 OMR",450 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",450 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"46,000 OMR",100 m2 3 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",100 m2 3 Bedrooms Apartments for Sale in Muscat Ghala
"110,000 OMR",Industrial Land for Sale in Muscat Misfah,"Muscat, Misfah",Industrial Land for Sale in Muscat Misfah
"1,500 OMR",كوخ للبرجر والفشار والايسكريم وغيره,"Muscat, Seeb",كوخ للبرجر والفشار والايسكريم وغيره
"17,700 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"54,000 OMR",101 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",101 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"13,000 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"8,800 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"25,000 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"4,000 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"20,500 OMR",محلات اللبيع تجاري,"Al Sharqiya, Al Mudaibi",محلات اللبيع تجاري
"15,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"1,350 OMR",Residential Land for Sale in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",Residential Land for Sale in Al Sharqiya Al Mudaibi
"15,000 OMR",180 m2 3 Bedrooms Townhouse for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",180 m2 3 Bedrooms Townhouse for Sale in Al Sharqiya Ibra
"86,000 OMR",Own a Commercial Unit in Muscat Hills امتلك وحدة تجارية في مسقط هيلز,"Muscat, Seeb",Own a Commercial Unit in Muscat Hills امتلك وحدة تجارية في مسقط هيلز
"23,000 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"9,200 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"15,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"13,000 OMR",Residential Land for Sale in Al Batinah Liwa,"Al Batinah, Liwa",Residential Land for Sale in Al Batinah Liwa
"115,000 OMR",بيع مبنى سكني تجاري في الجبل الأخضر,"Al Dakhiliya, Nizwa",بيع مبنى سكني تجاري في الجبل الأخضر
"430,000 OMR",Commercial Land for Sale in Muscat Ruwi,"Muscat, Ruwi",Commercial Land for Sale in Muscat Ruwi
"4,200 OMR",Residential Land for Sale in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",Residential Land for Sale in Al Batinah Al Khaboura
"60,000 OMR",Farm Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Farm Land for Sale in Al Batinah Suwaiq
"53,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"9,650 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"5,300 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"12,500 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"100,000 OMR",580 m2 More than 6 bedrooms Townhouse for Sale in Dhofar Salala,"Dhofar, Salala",580 m2 More than 6 bedrooms Townhouse for Sale in Dhofar Salala
"10,000 OMR",Commercial Land for Sale in Dhofar Mirbat,"Dhofar, Mirbat",Commercial Land for Sale in Dhofar Mirbat
"55,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"14,800 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"25,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"75,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"21,000 OMR",Commercial Land for Sale in Dhofar Salala,"Dhofar, Salala",Commercial Land for Sale in Dhofar Salala
"78,000 OMR",Building for Sale in Dhofar Salala,"Dhofar, Salala",Building for Sale in Dhofar Salala
"58,000 OMR",Commercial Land for Sale in Dhofar Salala,"Dhofar, Salala",Commercial Land for Sale in Dhofar Salala
"100,000 OMR",Farm Land for Sale in Dhofar Salala,"Dhofar, Salala",Farm Land for Sale in Dhofar Salala
"10,500 OMR",Residential Land for Sale in Al Batinah Nakhl,"Al Batinah, Nakhl",Residential Land for Sale in Al Batinah Nakhl
"4,300 OMR",تراك فود للبيع (مشروع جاهز ) الطول 5م مع القالوص العرض 2متر . مناسب للتنقل  مطبخ جاهز ومكيف .,"Muscat, Al Khoud",تراك فود للبيع (مشروع جاهز ) الطول 5م مع القالوص العرض 2متر . مناسب للتنقل  مطبخ جاهز ومكيف .
"40,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
550 OMR,92 m2 1 Bedroom Apartments for Sale in Muscat Qurm,"Muscat, Qurm",92 m2 1 Bedroom Apartments for Sale in Muscat Qurm
"8,500 OMR",Residential Land for Sale in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",Residential Land for Sale in Al Dakhiliya Bahla
"3,200,000 OMR",Commercial Land for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",Commercial Land for Sale in Muscat Al Mawaleh
"57,000 OMR",Residential Land for Sale in Muscat Al-Hail,"Muscat, Al-Hail",Residential Land for Sale in Muscat Al-Hail
"3,500 OMR",للبيع مقهى ومخبز تنور بجنب بعض في صناعية كرشا,"Al Dakhiliya, Nizwa",للبيع مقهى ومخبز تنور بجنب بعض في صناعية كرشا
"113,000 OMR",660 m2 More than 6 bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",660 m2 More than 6 bedrooms Villa for Sale in Muscat Seeb
"18,500 OMR",Residential Land for Sale in Al Dakhiliya Izki,"Al Dakhiliya, Izki",Residential Land for Sale in Al Dakhiliya Izki
"65,000 OMR",عاجل للمستثمرين . للبيع مخبز جاهز للعمل.,"Muscat, Misfah",عاجل للمستثمرين . للبيع مخبز جاهز للعمل.
"11,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"35,000 OMR",Farm Land for Sale in Al Dakhiliya Adam,"Al Dakhiliya, Adam",Farm Land for Sale in Al Dakhiliya Adam
"75,000 OMR",Commercial Land for Sale in Dhofar Salala,"Dhofar, Salala",Commercial Land for Sale in Dhofar Salala
"35,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"33,500 OMR",200 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Al Qabil,"Al Sharqiya, Al Qabil",200 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Al Qabil
"67,000 OMR",280 m2 3 Bedrooms Townhouse for Sale in Dhofar Mirbat,"Dhofar, Mirbat",280 m2 3 Bedrooms Townhouse for Sale in Dhofar Mirbat
"35,000 OMR",220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah
"60,000 OMR",Residential Land for Sale in Al Dakhiliya Other,"Al Dakhiliya, Other",Residential Land for Sale in Al Dakhiliya Other
"98,000 OMR",446 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",446 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
800 OMR,للبيع محل حلاقة راقي ستي سنتر القرم /  Luxury barber for sale in city center Qurum,"Muscat, Qurm",للبيع محل حلاقة راقي ستي سنتر القرم /  Luxury barber for sale in city center Qurum
"9,500 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"30,000 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"215,000 OMR",600 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Other,"Al Dakhiliya, Other",600 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Other
"15,000 OMR",400 m2 4 Bedrooms Villa for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",400 m2 4 Bedrooms Villa for Sale in Buraimi Al Buraimi
"35,000 OMR",أرض صناعية بمحافظة البريمي,"Buraimi, Al Buraimi",أرض صناعية بمحافظة البريمي
"8,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"8,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"75,000 OMR",2 Bedrooms Farms for Sale in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",2 Bedrooms Farms for Sale in Al Sharqiya Al Mudaibi
"23,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"37,000 OMR",Residential Land for Sale in Muscat Al Jafnayn,"Muscat, Al Jafnayn",Residential Land for Sale in Muscat Al Jafnayn
"58,000 OMR",500 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",500 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Nizwa
"9,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"7,000 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"95,000 OMR",321 m2 4 Bedrooms Villa for Sale in Muscat Other,"Muscat, Other",321 m2 4 Bedrooms Villa for Sale in Muscat Other
"7,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"9,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"4,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"3,500 OMR",Residential Land for Sale in Al Batinah Shinas,"Al Batinah, Shinas",Residential Land for Sale in Al Batinah Shinas
"29,000 OMR",فرصة للإستثمار  محل للبيع في سوق الخوض التجاري موقع مميز مقابل جامع الخوض,"Muscat, Al Khoud",فرصة للإستثمار  محل للبيع في سوق الخوض التجاري موقع مميز مقابل جامع الخوض
"7,000 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"48,500 OMR",109 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",109 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"20,500 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"45,000 OMR",Farm Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Farm Land for Sale in Al Batinah Rustaq
"125,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"155,000 OMR",فرصة أستثمارية نادرة من المالك - مبنى من ثلاث شقق بموقع مميز مؤجر وبدخل شهري 600ريال وقابل للزيادة,"Muscat, Amerat",فرصة أستثمارية نادرة من المالك - مبنى من ثلاث شقق بموقع مميز مؤجر وبدخل شهري 600ريال وقابل للزيادة
"50,000 OMR",Industrial Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Industrial Land for Sale in Al Batinah Al Masnaah
"44,999 OMR",52 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"Muscat, Seeb",52 m2 1 Bedroom Apartments for Sale in Muscat Seeb
"40,000 OMR",Residential Land for Sale in Muscat Misfah,"Muscat, Misfah",Residential Land for Sale in Muscat Misfah
"60,000 OMR",3 Bedrooms Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",3 Bedrooms Farms for Sale in Al Batinah Barka
"20,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"19,000 OMR",23 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",23 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"15,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"165,000 OMR",475 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,"Muscat, Al-Hail",475 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail
"350,000 OMR",4-BEDROOM STANDALONE VILLA [MH-FS/011],"Muscat, Muscat Hills",4-BEDROOM STANDALONE VILLA [MH-FS/011]
"500,000 OMR",Residential Land for Sale in Muscat Other,"Muscat, Other",Residential Land for Sale in Muscat Other
"15,500 OMR",Residential Land for Sale in Al Batinah Other,"Al Batinah, Other",Residential Land for Sale in Al Batinah Other
"82,000 OMR",Residential Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Residential Land for Sale in Al Dakhiliya Nizwa
"7,000 OMR",محل بقاله للبيع,"Muscat, Al Maabilah",محل بقاله للبيع
"49,000 OMR",310 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",310 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Bahla
"130,000 OMR",Residential Land for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",Residential Land for Sale in Muscat Al Mawaleh
"29,000 OMR",Industrial Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Industrial Land for Sale in Al Batinah Saham
"48,000 OMR",Sالعامرات 1 خلفها فضاء شارع رئسي,"Muscat, Amerat",Sالعامرات 1 خلفها فضاء شارع رئسي
"54,395 OMR",67 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"Muscat, Seeb",67 m2 1 Bedroom Apartments for Sale in Muscat Seeb
"30,000 OMR",D فرصه استثماريه في ابو النخيل  جنوب,"Al Batinah, Barka",D فرصه استثماريه في ابو النخيل  جنوب
"60,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"54,000 OMR",Residential Land for Sale in Muscat Al-Hail,"Muscat, Al-Hail",Residential Land for Sale in Muscat Al-Hail
"130,000 OMR",150 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",150 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka
"85,000 OMR",150 m2 3 Bedrooms Townhouse for Sale in Muscat Seeb,"Muscat, Seeb",150 m2 3 Bedrooms Townhouse for Sale in Muscat Seeb
"240,000 OMR",Very well presented luxury 3 & 4 bedrooms villas,"Muscat, Yiti",Very well presented luxury 3 & 4 bedrooms villas
"25,000 OMR",382 m2 4 Bedrooms Townhouse for Sale in Muscat Quriyat,"Muscat, Quriyat",382 m2 4 Bedrooms Townhouse for Sale in Muscat Quriyat
"19,000 OMR",Farm Land for Sale in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",Farm Land for Sale in Al Batinah Al Khaboura
"165,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"10,000 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"15,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"98,000 OMR",405 m2 5 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",405 m2 5 Bedrooms Villa for Sale in Muscat Seeb
"40,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"15,000 OMR",175 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat,"Muscat, Quriyat",175 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat
"160,000 OMR",Commercial Land for Sale in Muscat Misfah,"Muscat, Misfah",Commercial Land for Sale in Muscat Misfah
"145,000 OMR",463 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",463 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"14,900 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"33,000 OMR",125 m2 3 Bedrooms Apartments for Sale in Muscat Amerat,"Muscat, Amerat",125 m2 3 Bedrooms Apartments for Sale in Muscat Amerat
"200,000 OMR",440 m2 More than 6 bedrooms Villa for Sale in Muscat Ghubrah,"Muscat, Ghubrah",440 m2 More than 6 bedrooms Villa for Sale in Muscat Ghubrah
"24,000 OMR",98 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",98 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah
"65,000 OMR",402 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",402 m2 5 Bedrooms Villa for Sale in Al Batinah Barka
"25,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"101,000 OMR",1BR Apartment For Sale in Almouj with an interesting direct sea view,"Muscat, Al Mouj",1BR Apartment For Sale in Almouj with an interesting direct sea view
"35,000 OMR",210 m2 Studio Townhouse for Sale in Muscat Hamriya,"Muscat, Hamriya",210 m2 Studio Townhouse for Sale in Muscat Hamriya
"35,000 OMR",160 m2 3 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",160 m2 3 Bedrooms Townhouse for Sale in Al Batinah Suwaiq
"64,000 OMR",260 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",260 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka
"56,500 OMR",Town House for sell,"Muscat, Al Maabilah",Town House for sell
"73,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"22,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"9,000 OMR",Residential Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Residential Land for Sale in Al Dakhiliya Nizwa
"5,700 OMR",Commercial Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Commercial Land for Sale in Al Batinah Sohar
"100,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"13,500 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"4,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"38,000 OMR",own your proerty in madinat sultan haytham 5y installment,"Muscat, Al Mouj",own your proerty in madinat sultan haytham 5y installment
"300,000 OMR",Residential Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Residential Land for Sale in Muscat Al Khuwair
"98,000 OMR",luxury ground floor flat in marsa garden,"Muscat, Al Mouj",luxury ground floor flat in marsa garden
"80,000 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"85,000 OMR",Industrial Land for Sale in Muscat Amerat,"Muscat, Amerat",Industrial Land for Sale in Muscat Amerat
"40,000 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"20,000 OMR",70 m2 Studio Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",70 m2 Studio Apartments for Sale in Muscat Al Maabilah
"28,500 OMR",Commercial Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Commercial Land for Sale in Al Batinah Al Rumais
"115,000 OMR",Building for Sale in Muscat Wadi Al Kabir,"Muscat, Wadi Al Kabir",Building for Sale in Muscat Wadi Al Kabir
"27,000 OMR",60 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",60 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"27,000 OMR",60 m2 1 Bedroom Apartments for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",60 m2 1 Bedroom Apartments for Sale in Muscat Al Khuwair
"135,000 OMR",Building for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Building for Sale in Muscat Al Khuwair
"27,000 OMR",60 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",60 m2 1 Bedroom Apartments for Sale in Muscat Azaiba
"120,000 OMR",Residential Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Residential Land for Sale in Muscat Al Khuwair
"92,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"27,000 OMR",60 m2 1 Bedroom Apartments for Sale in Muscat Ansab,"Muscat, Ansab",60 m2 1 Bedroom Apartments for Sale in Muscat Ansab
"27,000 OMR",300 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Sinaw,"Al Sharqiya, Sinaw",300 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Sinaw
"11,079 OMR",بركاء داون تاون، أفخم سوق تجاري في بركاء على الخط الأول من شارع السلطان قابوس,"Al Batinah, Barka",بركاء داون تاون، أفخم سوق تجاري في بركاء على الخط الأول من شارع السلطان قابوس
"60,000 OMR",150 m2 2 Bedrooms Apartments for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",150 m2 2 Bedrooms Apartments for Sale in Al Batinah Suwaiq
"16,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"5,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"115,000 OMR",312 m2 4 Bedrooms Townhouse for Sale in Muscat Al Khoud,"Muscat, Al Khoud",312 m2 4 Bedrooms Townhouse for Sale in Muscat Al Khoud
"23,000 OMR",89 m2 2 Bedrooms Apartments for Sale in Muscat Seeb,"Muscat, Seeb",89 m2 2 Bedrooms Apartments for Sale in Muscat Seeb
"31,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"33,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"80,000 OMR",Residential Land for Sale in Muscat Al-Hail,"Muscat, Al-Hail",Residential Land for Sale in Muscat Al-Hail
"11,300 OMR",Dفرصه مخطط السوادي  السكني,"Al Batinah, Barka",Dفرصه مخطط السوادي  السكني
"29,000 OMR",Mixed Use Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Mixed Use Land for Sale in Al Batinah Sohar
"19,000 OMR",Commercial Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Commercial Land for Sale in Al Batinah Al Rumais
"5,800 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"260,000 OMR",Industrial Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Industrial Land for Sale in Al Dakhiliya Nizwa
"31,000 OMR",Residential Land for Sale in Muscat Halban,"Muscat, Halban",Residential Land for Sale in Muscat Halban
"134,778 OMR",Farm Land for Sale in Al Batinah Shinas,"Al Batinah, Shinas",Farm Land for Sale in Al Batinah Shinas
"11,079 OMR",واخيرا صار فيك تتملك محلك التجاري في بركاء داون تاون على الخط الأول من شارع السلطان قابوس,"Muscat, Ansab",واخيرا صار فيك تتملك محلك التجاري في بركاء داون تاون على الخط الأول من شارع السلطان قابوس
"126,000 OMR",438 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",438 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"26,000 OMR",69 m2 1 Bedroom Apartments for Sale in Muscat Ghubrah,"Muscat, Ghubrah",69 m2 1 Bedroom Apartments for Sale in Muscat Ghubrah
"7,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"71,000 OMR",280 m2 5 Bedrooms Villa for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",280 m2 5 Bedrooms Villa for Sale in Al Batinah Al Rumais
"15,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"127,000 OMR",#REF1163  فيلا توين جديدة للبيع 4 غرف + 1 غرف في الخوض,"Muscat, Al Khoud",#REF1163  فيلا توين جديدة للبيع 4 غرف + 1 غرف في الخوض
"36,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
