prop_price,prop_title,prop_location,prop_size
"250,000 OMR",3-Bedroom Villa with Stunning Sea View for Sale in Jebel Sifah – Private Pool & Garden,"Muscat, Al-Sifah",3-Bedroom Villa with Stunning Sea View for Sale in Jebel Sifah – Private Pool & Garden
"14,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"65,000 OMR",325 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",325 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"375,000 OMR",Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",Residential Land for Sale in Muscat Madinat As Sultan Qaboos
"23,000 OMR",54 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",54 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"3,800 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"111,700 OMR",147 m2 3 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",147 m2 3 Bedrooms Villa for Sale in Muscat Seeb
"32,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"95,000 OMR",Commercial Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Commercial Land for Sale in Al Batinah Saham
"88,740 OMR",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"Muscat, Seeb",58 m2 1 Bedroom Apartments for Sale in Muscat Seeb
"79,000 OMR",369 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",369 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"265,000 OMR",2 Bedrooms Sea View Villa in Jebel Sifah  فيلا غرفتين على البحر في جبل سيفة للبيع,"Muscat, Al-Sifah",2 Bedrooms Sea View Villa in Jebel Sifah  فيلا غرفتين على البحر في جبل سيفة للبيع
"99,999 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"33,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"42,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"20,500 OMR",Residential Land for Sale in Muscat Yenkit,"Muscat, Yenkit",Residential Land for Sale in Muscat Yenkit
"136,000 OMR",450 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",450 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud
"156,000 OMR",467 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",467 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"157,000 OMR",460 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",460 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"12,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"65,000 OMR",178 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat,"Muscat, Quriyat",178 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat
"39,000 OMR",39000 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",39000 m2 2 Bedrooms Apartments for Sale in Muscat Bosher
"39,000 OMR",130 m2 3 Bedrooms Apartments for Sale in Dhofar Salala,"Dhofar, Salala",130 m2 3 Bedrooms Apartments for Sale in Dhofar Salala
"37,000 OMR",220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham
