prop_price,prop_title,prop_location,prop_size,number_room
"37,000",Villa,"Barka, Al Batinah",180 Sq. M.,4
"172,082",Apartment,"Qurum, Muscat",73 Sq. M.,1
"140,000",Apartment,"The Wave (Almouj), Muscat",114 Sq. M.,1
"85,000",Apartment,"Salalah, Dhofar",120 Sq. M.,2
"130,000",Apartment,"Al Mawaleh, Muscat",566 Sq. M.,3
"95,000",Apartment,"Salalah, Dhofar",76 Sq. M.,1
"110,000",Apartment,"The Wave (Almouj), Muscat",107 Sq. M.,1
"51,000",Chalet,"Barka, Al Batinah",600 Sq. M.,2
"35,000",Apartment,"Salalah, Dhofar",150 Sq. M.,3
"76,000",Villa,"Al Maabilah, Muscat",345 Sq. M.,4
"70,850",Apartment,"Al Maabilah, Muscat",109 Sq. M.,2
"980,000",Villa,"Al Sifah, Muscat","2,300 Sq. M.",5
"60,000",Apartment,"Al Sifah, Muscat",59 Sq. M.,1
"413,968",Villa,"Qantab, Muscat",422 Sq. M.,4
"140,000",Apartment,"The Wave (Almouj), Muscat",140 Sq. M.,2
"185,000",Villa,"The Wave (Almouj), Muscat",128 Sq. M.,2
"70,850",Apartment,"Sultan Haitham City, Muscat",109 Sq. M.,2
"163,050",Apartment,"Sultan Haitham City, Muscat",217 Sq. M.,3
"53,300",Apartment,"Sultan Haitham City, Muscat",82 Sq. M.,1
"100,000",Residential Land,"Al Amarat, Muscat",400 Sq. M.,not available
"140,000",Residential Land,"Ansab, Muscat",734 Sq. M.,not available
"100,000",Residential Land,"Bosher, Muscat",500 Sq. M.,not available
"58,500",Apartment,"Sultan Haitham City, Muscat",70 Sq. M.,1
"250,000",Villa,"Al Sifah, Muscat",153 Sq. M.,3
"255,000",Apartment,"The Wave (Almouj), Muscat",157 Sq. M.,2
"225,000",Villa,"The Wave (Almouj), Muscat",176 Sq. M.,4
"85,000",Apartment,"Muscat Hills, Muscat",120 Sq. M.,2
"12,200",Residential Land,"Barka, Al Batinah",810 Sq. M.,not available
"95,000",Villa,"Misfah, Muscat",215 Sq. M.,4
"46,150",Apartment,"Al Maabilah, Muscat",71 Sq. M.,1
"923,409",Apartment,"Muscat - Other, Muscat",424 Sq. M.,4
"288,115",Apartment,"Qantab, Muscat",361 Sq. M.,3
"1,100,000",Villa,"Suwaiq, Al Batinah","15,430 Sq. M.",6
"79,000",Villa,"Salalah, Dhofar",69 Sq. M.,1
"140,000",Villa,"Salalah, Dhofar",110 Sq. M.,2
"98,000",Villa,"Al Seeb, Muscat",425 Sq. M.,7
"140,000",Villa,"Al Hail, Muscat",320 Sq. M.,5
"16,000",Residential Land,"Barka, Al Batinah",630 Sq. M.,not available
"125,000",Apartment,"The Wave (Almouj), Muscat",110 Sq. M.,1
"29,000",Apartment,"Darsait, Muscat",90 Sq. M.,2
"61,000",Apartment,"Al Sifah, Muscat",64 Sq. M.,1
"50,000",Apartment,"Salalah, Dhofar",55 Sq. M.,1
"27,000",Residential Land,"Al Amarat, Muscat",333 Sq. M.,not available
"100,000",Apartment,"The Wave (Almouj), Muscat",107 Sq. M.,1
